ngrams,freq,prop,pmi,npmi,ni.1,ni.2,ni.3,ni.4,keep
finanze intesa sede conferenza ,13,0.0002488181,25.94129,0.6842156,0.0038,0.0008,0.0012,0.0010,0
dl_14_10_2019_n_111 convertito modificazioni l_12_12_2019_n_141 ,10,0.0001913985,25.66763,0.6751306,0.0002,0.0092,0.0106,0.0002,0
contratto lavoro tempo indeterminato ,12,0.0002296783,25.40846,0.6776211,0.0012,0.0035,0.0015,0.0008,1
dl_22_6_2012_n_83 convertito modificazioni l_7_8_2012_n_134 ,12,0.0002296783,25.40508,0.6775920,0.0002,0.0092,0.0106,0.0002,0
misure aiuto stato sostegno ,12,0.0002296783,25.31248,0.6767938,0.0016,0.0005,0.0059,0.0011,0
dl_8_4_2020_n_23 convertito modificazioni l_5_6_2020_n_40 ,13,0.0002488181,25.28978,0.6786944,0.0002,0.0092,0.0106,0.0002,0
dl_6_12_2011_n_201 convertito modificazioni l_22_12_2011_n_214 ,13,0.0002488181,25.28978,0.6786944,0.0002,0.0092,0.0106,0.0002,0
economia finanze dipartimento ragioneria ,10,0.0001913985,25.00014,0.6693250,0.0043,0.0038,0.0011,0.0003,0
stato sostegno economia attuale ,12,0.0002296783,24.71181,0.6715183,0.0059,0.0011,0.0043,0.0003,0
anno_2028 euro anno_2029 euro ,10,0.0001913985,24.23910,0.6624472,0.0004,0.0090,0.0003,0.0090,0
euro anno_2028 euro anno_2029 ,10,0.0001913985,24.23910,0.6624472,0.0090,0.0004,0.0090,0.0003,0
dl_17_3_2020_n_18 convertito modificazioni l_24_4_2020_n_27 ,27,0.0005167761,24.18404,0.6889605,0.0005,0.0092,0.0106,0.0005,0
anno_2027 euro anno_2028 euro ,10,0.0001913985,23.93440,0.6596128,0.0004,0.0090,0.0004,0.0090,0
euro anno_2027 euro anno_2028 ,10,0.0001913985,23.93440,0.6596128,0.0090,0.0004,0.0090,0.0004,0
aiuto stato sostegno economia ,12,0.0002296783,23.91867,0.6642826,0.0005,0.0059,0.0011,0.0043,0
dl_14_8_2020_n_104 convertito modificazioni l_13_10_2020_n_126 ,35,0.0006698949,23.86233,0.6935493,0.0007,0.0092,0.0106,0.0007,0
economia finanze intesa sede ,13,0.0002488181,23.82176,0.6655168,0.0043,0.0038,0.0008,0.0012,0
decreto ministro infrastrutture trasporti ,10,0.0001913985,23.57719,0.6562285,0.0038,0.0059,0.0007,0.0009,0
dl_19_5_2020_n_34 convertito modificazioni l_17_7_2020_n_77 ,51,0.0009761326,23.29144,0.6996092,0.0010,0.0092,0.0106,0.0010,0
data entrata vigore presente ,38,0.0007273145,23.24189,0.6903458,0.0034,0.0016,0.0013,0.0103,1
anno_2026 euro anno_2027 euro ,10,0.0001913985,23.18264,0.6524114,0.0006,0.0090,0.0004,0.0090,0
euro anno_2026 euro anno_2027 ,10,0.0001913985,23.18264,0.6524114,0.0090,0.0006,0.0090,0.0004,0
ministro lavoro politiche sociali ,17,0.0003253775,22.77242,0.6627978,0.0059,0.0035,0.0017,0.0013,1
previsione ministero università ricerca ,10,0.0001913985,22.67392,0.6473629,0.0020,0.0034,0.0018,0.0024,0
concerto ministro economia finanze ,66,0.0012632304,22.63439,0.7015575,0.0020,0.0059,0.0043,0.0038,0
euro anno_2024 euro anno_2025 ,14,0.0002679580,22.56891,0.6554134,0.0090,0.0008,0.0090,0.0007,0
anno_2025 euro anno_2026 euro ,11,0.0002105384,22.54282,0.6485939,0.0007,0.0090,0.0006,0.0090,0
euro anno_2025 euro anno_2026 ,11,0.0002105384,22.54282,0.6485939,0.0090,0.0007,0.0090,0.0006,0
disposto presente comma vedi ,48,0.0009187130,22.49797,0.6904168,0.0013,0.0103,0.0066,0.0018,0
decreto ministro interno concerto ,11,0.0002105384,22.30610,0.6461841,0.0038,0.0059,0.0009,0.0020,0
interno concerto ministro economia ,12,0.0002296783,22.24082,0.6478742,0.0009,0.0020,0.0059,0.0043,0
previsione ministero economia finanze ,29,0.0005550558,22.23223,0.6727395,0.0020,0.0034,0.0043,0.0038,0
anno_2024 euro anno_2025 euro ,11,0.0002105384,22.22098,0.6453095,0.0008,0.0090,0.0007,0.0090,0
istituito stato previsione ministero ,20,0.0003827971,22.20953,0.6617727,0.0020,0.0059,0.0020,0.0034,0
ministero economia finanze dipartimento ,14,0.0002679580,22.11437,0.6508040,0.0034,0.0043,0.0038,0.0011,0
ministro economia finanze adottare ,29,0.0005550558,22.06831,0.6711082,0.0059,0.0043,0.0038,0.0013,0
decreto ministro sviluppo economico ,18,0.0003445174,21.83469,0.6549524,0.0038,0.0059,0.0027,0.0015,0
ministro interno concerto ministro ,12,0.0002296783,21.78955,0.6431837,0.0059,0.0009,0.0020,0.0059,0
milioni_di_euro anno_2025 milioni_di_euro anno_2026 ,12,0.0002296783,21.73178,0.6425741,0.0125,0.0007,0.0125,0.0006,0
milioni_di_euro anno_2024 milioni_di_euro anno_2025 ,14,0.0002679580,21.63233,0.6457791,0.0125,0.0008,0.0125,0.0007,0
anno_2024 milioni_di_euro anno_2025 milioni_di_euro ,14,0.0002679580,21.63233,0.6457791,0.0008,0.0125,0.0007,0.0125,0
stato previsione ministero economia ,29,0.0005550558,21.62592,0.6666231,0.0059,0.0020,0.0034,0.0043,0
anno_2023 euro anno_2024 euro ,14,0.0002679580,21.56911,0.6451092,0.0014,0.0090,0.0008,0.0090,0
euro anno_2023 euro anno_2024 ,14,0.0002679580,21.56911,0.6451092,0.0090,0.0014,0.0090,0.0008,0
ministro economia finanze intesa ,12,0.0002296783,21.43500,0.6394099,0.0059,0.0043,0.0038,0.0008,0
decreto ministro università ricerca ,14,0.0002679580,21.43230,0.6436512,0.0038,0.0059,0.0018,0.0024,0
stato previsione ministero università ,10,0.0001913985,21.37080,0.6337359,0.0059,0.0020,0.0034,0.0018,0
attuazione disposto presente comma ,48,0.0009187130,21.22072,0.6777874,0.0043,0.0013,0.0103,0.0066,0
provvede utilizzo risorse fondo ,13,0.0002488181,21.12903,0.6383074,0.0023,0.0011,0.0057,0.0076,0
annui decorrere anno_2022 provvede ,10,0.0001913985,21.11657,0.6309536,0.0031,0.0046,0.0026,0.0023,0
sono stabiliti criteri modalità ,10,0.0001913985,21.08660,0.6306229,0.0157,0.0008,0.0018,0.0039,0
decreto ministro lavoro politiche ,13,0.0002488181,20.84364,0.6351619,0.0038,0.0059,0.0035,0.0017,0
milioni_di_euro anno_2023 milioni_di_euro anno_2024 ,15,0.0002870978,20.73207,0.6379444,0.0125,0.0014,0.0125,0.0008,0
ministero economia finanze istituito ,10,0.0001913985,20.70998,0.6264151,0.0034,0.0043,0.0038,0.0020,0
adottare sessanta_giorni_data_entrata_vigore presente sono ,17,0.0003253775,20.68089,0.6409402,0.0013,0.0009,0.0103,0.0157,0
anno_2023 milioni_di_euro anno_2024 milioni_di_euro ,13,0.0002488181,20.52562,0.6315917,0.0014,0.0125,0.0008,0.0125,0
euro annui decorrere anno_2022 ,23,0.0004402167,20.35451,0.6460927,0.0090,0.0031,0.0046,0.0026,0
comma modificato convertito modificazioni ,40,0.0007655942,20.18735,0.6610462,0.0066,0.0010,0.0092,0.0106,0
euro anno_2022 euro anno_2023 ,16,0.0003062377,20.00712,0.6315343,0.0090,0.0026,0.0090,0.0014,0
anno_2022 euro anno_2023 euro ,15,0.0002870978,19.91401,0.6285952,0.0026,0.0090,0.0014,0.0090,0
milioni_di_euro anno_2022 milioni_di_euro anno_2023 ,25,0.0004784964,19.71440,0.6412521,0.0125,0.0026,0.0125,0.0014,0
istituito fondo dotazione milioni_di_euro ,21,0.0004019370,19.47199,0.6331791,0.0020,0.0076,0.0029,0.0125,0
autorizzata spesa euro anno_2021 ,34,0.0006507551,19.37620,0.6466968,0.0024,0.0052,0.0090,0.0086,0
apportate modificazioni periodo parole ,15,0.0002870978,19.10759,0.6188942,0.0014,0.0106,0.0073,0.0048,0
anno_2022 milioni_di_euro anno_2023 milioni_di_euro ,16,0.0003062377,19.07054,0.6203093,0.0026,0.0125,0.0014,0.0125,0
decreto ministro economia finanze ,10,0.0001913985,18.96914,0.6056505,0.0038,0.0059,0.0043,0.0038,0
milioni_di_euro annui decorrere anno_2021 ,35,0.0006698949,18.76148,0.6402087,0.0125,0.0031,0.0046,0.0086,0
comma sostituito convertito modificazioni ,18,0.0003445174,18.64839,0.6184890,0.0066,0.0013,0.0092,0.0106,0
anno_2021 euro annui decorrere ,23,0.0004402167,18.62405,0.6255233,0.0086,0.0090,0.0031,0.0046,0
presente comma vedi convertito ,18,0.0003445174,18.25470,0.6134418,0.0103,0.0066,0.0018,0.0092,0
autorizzata spesa milioni_di_euro anno_2021 ,21,0.0004019370,18.21277,0.6175178,0.0024,0.0052,0.0125,0.0086,0
comma vedi convertito modificazioni ,18,0.0003445174,18.21234,0.6128908,0.0066,0.0018,0.0092,0.0106,0
comma inserito convertito modificazioni ,11,0.0002105384,18.19242,0.5983159,0.0066,0.0011,0.0092,0.0106,0
sono apportate modificazioni parole ,15,0.0002870978,18.00908,0.6048339,0.0157,0.0014,0.0106,0.0048,0
euro annui decorrere anno_2021 ,15,0.0002870978,18.00737,0.6048112,0.0090,0.0031,0.0046,0.0086,0
milioni_di_euro anno_2021 milioni_di_euro anno_2022 ,43,0.0008230138,17.85955,0.6354276,0.0125,0.0086,0.0125,0.0026,0
sono apportate modificazioni periodo ,18,0.0003445174,17.65471,0.6054875,0.0157,0.0014,0.0106,0.0073,0
euro anno_2021 euro annui ,23,0.0004402167,17.64832,0.6128353,0.0090,0.0086,0.0090,0.0031,0
euro anno_2021 euro anno_2022 ,19,0.0003636572,17.61778,0.6066121,0.0090,0.0086,0.0090,0.0026,0
parole sono sostituite parole ,11,0.0002105384,17.59736,0.5902977,0.0048,0.0157,0.0030,0.0048,0
fine autorizzata spesa milioni_di_euro ,10,0.0001913985,17.50264,0.5862790,0.0067,0.0024,0.0052,0.0125,0
anno_2021 euro anno_2022 euro ,16,0.0003062377,17.36986,0.5980755,0.0086,0.0090,0.0026,0.0090,0
fondo dotazione milioni_di_euro anni ,10,0.0001913985,17.34722,0.5841139,0.0076,0.0029,0.0125,0.0041,0
anno_2021 milioni_di_euro anno_2022 milioni_di_euro ,30,0.0005741956,17.34017,0.6169487,0.0086,0.0125,0.0026,0.0125,0
ministro economia finanze sono ,12,0.0002296783,17.18562,0.5870666,0.0059,0.0043,0.0038,0.0157,0
spesa euro anno_2021 euro ,25,0.0004784964,16.99255,0.6064056,0.0052,0.0090,0.0086,0.0090,0
fondo dotazione milioni_di_euro anno_2021 ,16,0.0003062377,16.97286,0.5925053,0.0076,0.0029,0.0125,0.0086,0
spesa milioni_di_euro anno_2021 milioni_di_euro ,16,0.0003062377,15.41212,0.5690241,0.0052,0.0125,0.0086,0.0125,0
