"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99"
"data entrata vigore","443","444","447","548","749","847","1050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ragioneria generale stato","23","55","63","65","71","256","675","686","697","939","983","984","1066","1083","1161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sostegno economia attuale","195","209","240","253","291","309","387","401","728","759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"allegato annesso presente","1","522","549","550","573","579","601","963","983","1009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministro infrastrutture trasporti","779","783","803","807","813","814","826","838","846","847","853","860","869","878","881","970","971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"vigente dotazione organica","53","107","541","1015","1022","1025","1028","1035","1043","1049","1065","1074","1106","1112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"lavoro tempo determinato","257","261","382","443","571","579","841","1093","1122","1124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"servizio sanitario nazionale","511","513","517","518","528","541","563","571","574","576","590","599","602","605","607","991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"piani sviluppo coesione","256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"periodo programmazione 2021-2027","246","255","256","273","631","664","675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministro coesione territoriale","256","258","268","269","273","274","279","281","970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministero università ricerca","89","268","625","627","640","641","643","646","654","656","670","671","672","673","676","677","678","680","1057","1104","1105","1106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"stabiliti criteri modalità","115","194","199","204","380","656","783","803","852","918","926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministero economia finanze","13","16","23","52","55","56","57","63","65","71","86","135","136","165","225","248","256","273","274","275","284","298","328","356","357","367","395","409","415","437","442","446","500","589","605","675","684","686","693","697","712","714","734","738","739","746","749","754","762","771","772","774","823","840","845","863","902","932","939","940","943","970","977","983","984","990","992","996","1000","1014","1047","1049","1066","1083","1088","1159","1161",,,,,,,,,,,,,,,,,,,,,
"ministro sviluppo economico","69","80","98","114","116","136","178","184","194","199","229","234","235","283","294","347","348","358","674","741","743","745","793","842","869","900","964","997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ministro economia finanze","13","26","37","62","64","80","116","136","178","194","199","212","258","283","287","316","328","331","345","352","358","360","366","379","380","395","417","418","427","460","465","503","546","554","563","585","599","603","609","643","647","656","657","674","698","707","710","713","729","743","745","748","754","762","779","781","783","803","807","814","838","840","842","843","846","847","860","881","891","892","901","907","915","918","924","926","927","931","933","934","949","970","971","977","978","979","1002","1005","1009","1011","1013","1050","1055","1058","1128","1132","1155","1162"
"ministro università ricerca","269","637","640","643","645","647","649","656","657","662","670","671","674","677","1050","1055","1057","1058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fondo sviluppo coesione","246","249","255","256","266","268","270","273","280","281","672","675","875","897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"autorizzata spesa euro","6","7","42","54","107","539","543","587","655","669","679","707","888","893","1017","1020","1021","1023","1024","1027","1033","1034","1037","1040","1042","1044","1048","1049","1065","1076","1080","1082","1089","1090","1091","1092","1094","1102","1105","1110","1144","1160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
